,country,epoch,set,metric,weight_kind,rmse,mse,r2
0,Sierra Leone,1,test,overall,none,4.766642420021591,26.831951816027406,0.5946769563724623
1,Sierra Leone,1,test,mean,none,6.7942202497677435,46.16142880235406,0.8157073899000454
2,Sierra Leone,1,test,std,none,2.7390645902754382,7.5024748297007555,0.3736465228448793
3,Sierra Leone,1,test,overall,(w+s),4.903205420246643,28.538721032525398,0.5783254741347035
4,Sierra Leone,1,test,mean,(w+s),7.023888715646817,49.33501268979069,0.8030373302168619
5,Sierra Leone,1,test,std,(w+s),2.7825221248464693,7.74242937526011,0.3536136180525452
6,Sierra Leone,1,test,overall,(wX),4.992085909220577,29.900798856355525,0.57773461218191
7,Sierra Leone,1,test,mean,(wX),7.223649740106193,52.18111556773628,0.7916746895534768
8,Sierra Leone,1,test,std,(wX),2.7605220783349607,7.62048214497477,0.3637945348103433
9,Sierra Leone,1,test,overall,(wENS 0.1),4.76664242002159,26.8319518160274,0.5946769563724623
10,Sierra Leone,1,test,mean,(wENS 0.1),6.794220249767743,46.161428802354045,0.8157073899000454
11,Sierra Leone,1,test,std,(wENS 0.1),2.7390645902754382,7.5024748297007555,0.3736465228448793
12,Sierra Leone,1,test,overall,(wENS 0.4),4.766642420021591,26.831951816027406,0.5946769563724623
13,Sierra Leone,1,test,mean,(wENS 0.4),6.7942202497677435,46.16142880235406,0.8157073899000454
14,Sierra Leone,1,test,std,(wENS 0.4),2.7390645902754382,7.5024748297007555,0.3736465228448793
15,Sierra Leone,1,test,overall,(wENS 0.49),4.766642420021591,26.831951816027406,0.5946769563724623
16,Sierra Leone,1,test,mean,(wENS 0.49),6.7942202497677435,46.16142880235406,0.8157073899000454
17,Sierra Leone,1,test,std,(wENS 0.49),2.7390645902754382,7.5024748297007555,0.3736465228448793
18,Sierra Leone,1,test,overall,(wENS 0.5),4.766642420021591,26.831951816027406,0.5946769563724623
19,Sierra Leone,1,test,mean,(wENS 0.5),6.7942202497677435,46.16142880235406,0.8157073899000454
20,Sierra Leone,1,test,std,(wENS 0.5),2.7390645902754382,7.5024748297007555,0.3736465228448793
21,Sierra Leone,1,test,overall,(wENS 0.51),4.766642420021591,26.831951816027406,0.5946769563724623
22,Sierra Leone,1,test,mean,(wENS 0.51),6.7942202497677435,46.16142880235406,0.8157073899000454
23,Sierra Leone,1,test,std,(wENS 0.51),2.7390645902754382,7.5024748297007555,0.3736465228448793
24,Sierra Leone,1,test,overall,(wENS 0.55),4.76664242002159,26.8319518160274,0.5946769563724623
25,Sierra Leone,1,test,mean,(wENS 0.55),6.794220249767743,46.161428802354045,0.8157073899000454
26,Sierra Leone,1,test,std,(wENS 0.55),2.7390645902754382,7.5024748297007555,0.3736465228448793
27,Sierra Leone,1,test,overall,(wENS 0.6),4.76664242002159,26.8319518160274,0.5946769563724623
28,Sierra Leone,1,test,mean,(wENS 0.6),6.794220249767743,46.161428802354045,0.8157073899000454
29,Sierra Leone,1,test,std,(wENS 0.6),2.7390645902754382,7.5024748297007555,0.3736465228448793
30,Sierra Leone,1,test,overall,(wENS 0.8),4.76664242002159,26.8319518160274,0.5946769563724623
31,Sierra Leone,1,test,mean,(wENS 0.8),6.794220249767743,46.161428802354045,0.8157073899000454
32,Sierra Leone,1,test,std,(wENS 0.8),2.7390645902754382,7.5024748297007555,0.3736465228448793
33,Sierra Leone,1,test,overall,(wENS 0.9),4.766648422432666,26.832025803532115,0.5946762542023774
34,Sierra Leone,1,test,mean,(wENS 0.9),6.7942303863621865,46.161566542967265,0.8157068399912193
35,Sierra Leone,1,test,std,(wENS 0.9),2.7390664585031455,7.502485064096963,0.3736456684135354
36,Sierra Leone,1,test,overall,(wENS 0.99),4.750049161053316,26.408387357088408,0.5853793903938496
37,Sierra Leone,1,test,mean,(wENS 0.99),6.711023491498541,45.03783630344527,0.8201931651389192
38,Sierra Leone,1,test,std,(wENS 0.99),2.7890748306080906,7.778938410731549,0.35056561564877997
39,Sierra Leone,1,test,overall,(wENS 0.999),4.835702674310574,27.539576699356633,0.5790626410360802
40,Sierra Leone,1,test,mean,(wENS 0.999),6.874220848137385,47.25491226896667,0.8113418204757101
41,Sierra Leone,1,test,std,(wENS 0.999),2.7971845004837625,7.8242411297465955,0.34678346159645024
42,Sierra Leone,1,test,overall,(wENS 0.9999),4.8997102935935315,28.301736688804944,0.5692705879035571
43,Sierra Leone,1,test,mean,(wENS 0.9999),6.972046107996818,48.60942693203358,0.8059341229855811
44,Sierra Leone,1,test,std,(wENS 0.9999),2.827374479190245,7.994046445576309,0.332607052821533
45,Sierra Leone,1,test,overall,(wENS 0.99999),4.897282486790666,28.18852466895398,0.5653785072406734
46,Sierra Leone,1,test,mean,(wENS 0.99999),6.94792846148435,48.27370990590429,0.8072744230717259
47,Sierra Leone,1,test,std,(wENS 0.99999),2.8466365120969823,8.103339432003674,0.32348259140962077
48,Sierra Leone,1,test,overall,(wINS),4.863794307577058,27.814837575726145,0.5718393444517983
49,Sierra Leone,1,test,mean,(wINS),6.902995746696584,47.65135027891114,0.8097591009306043
50,Sierra Leone,1,test,std,(wINS),2.824592868457532,7.978324872541149,0.33391958797299226
51,Sierra Leone,1,test,overall,(wISNS),4.8134357292738015,27.30970539340585,0.5840982818481502
52,Sierra Leone,1,test,mean,(wISNS),6.8482678780163555,46.89877292907063,0.8127636535994147
53,Sierra Leone,1,test,std,(wISNS),2.7786035805312475,7.7206378577410675,0.3554329100968856
54,Sierra Leone,1,test,overall,sklearn (w+s),4.954660503647815,29.11634288530692,0.5682457999654034
