,OSMID,lat,lon,rural,place,name,NTLL_1.61km_min,NTLL_1.61km_max,NTLL_1.61km_mean,NTLL_1.61km_median,NTLL_1.61km_l3_mean,NTLL_1.61km_u3_mean,NTLL_1.61km_rad_gte_10.0_area,NTLL_1.61km_rad_gte_10.0_pixels,NTLL_1.61km_rad_gte_10.0_sum_rad,NTLL_2.0km_min,NTLL_2.0km_max,NTLL_2.0km_mean,NTLL_2.0km_median,NTLL_2.0km_l3_mean,NTLL_2.0km_u3_mean,NTLL_2.0km_rad_gte_10.0_area,NTLL_2.0km_rad_gte_10.0_pixels,NTLL_2.0km_rad_gte_10.0_sum_rad,NTLL_5.0km_min,NTLL_5.0km_max,NTLL_5.0km_mean,NTLL_5.0km_median,NTLL_5.0km_l3_mean,NTLL_5.0km_u3_mean,NTLL_5.0km_rad_gte_10.0_area,NTLL_5.0km_rad_gte_10.0_pixels,NTLL_5.0km_rad_gte_10.0_sum_rad,NTLL_10.0km_min,NTLL_10.0km_max,NTLL_10.0km_mean,NTLL_10.0km_median,NTLL_10.0km_l3_mean,NTLL_10.0km_u3_mean,NTLL_10.0km_rad_gte_10.0_area,NTLL_10.0km_rad_gte_10.0_pixels,NTLL_10.0km_rad_gte_10.0_sum_rad,total_length_roads,distance_closest_road,num_junctions,distance_closest_junction,total_building_area,num_buildings,bar,bar_dist,cafe,cafe_dist,fast_food,fast_food_dist,pub,pub_dist,college,college_dist,kindergarten,kindergarten_dist,library,library_dist,school,school_dist,university,university_dist,bus_station,bus_station_dist,atm,atm_dist,bank,bank_dist,clinic,clinic_dist,dentist,dentist_dist,hospital,hospital_dist,pharmacy,pharmacy_dist,veterinari,veterinari_dist,cinema,cinema_dist,community_centre,community_centre_dist,courthouse,courthouse_dist,embassy,embassy_dist,marketplace,marketplace_dist,police,police_dist,townhall,townhall_dist,distance_closest_cell,cells_in_1.61km,cells_in_2.0km,cells_in_5.0km,cells_in_10.0km,towers_in_1.61km,towers_in_2.0km,towers_in_5.0km,towers_in_10.0km,distance_closest_tile,population_closest_tile,population_grav_1,population_grav_1.5,population_grav_2,population_in_1.61km,population_in_2.0km,population_in_5.0km,population_in_10.0km,country,ccode
0,21320912,-33.9634718,25.5889933,0,neighbourhood,Mill Park,4.733846187591553,37.34384536743164,16.72902456964681,17.417026283686635,9.449483468049651,23.46630836243918,0.8051496095156581,0.8074805928016937,0.909347993199674,4.733846187591553,44.11307907104492,18.314821702219515,18.46991140136644,10.09169386942253,26.282372616198455,0.8321275792031074,0.8329882677708764,0.9315601765668498,1.2553845643997192,112.67230987548828,16.722636513796957,14.841755438300025,4.901315487418372,30.27199800256317,0.6732048530387937,0.6714184687534894,0.9052154818159504,0.4392307698726654,112.67230987548828,8.920584991429859,3.7128539396176343,1.1134465138505976,20.54862797174063,0.3614008780038958,0.3606497110301211,0.807972493568674,5168.4748102024805,695.443524532487,11,717.076480057345,5727.891365593066,12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,26.97511363817836,174.0,238.0,1916.0,5888.0,56.0,96.0,785.0,2560.0,177.63796813391264,139.530876,0.7854789010805081,0.0589340958872768,0.0044217962484707,1712.420347,2305.349198,22988.555137,108011.243149,South Africa,ZA
1,21320913,-33.9636177,25.5798899,0,neighbourhood,Linkside,4.733846187591553,32.59846115112305,14.42251986203214,13.256922721862791,7.598465345554347,21.72163203818949,0.6952361428702003,0.6988603988603989,0.8441850574762753,4.733846187591553,32.59846115112305,16.487107709720448,16.756153106689453,9.004651314425963,23.82315746862958,0.7968712074680694,0.7988319273199221,0.9087748284064868,1.2553845643997192,112.67230987548828,16.21363138700527,14.837596899803035,5.602364595170876,28.254997574750877,0.6860591967708793,0.6854719488703391,0.8960930676711347,0.4292307794094085,112.67230987548828,9.027187581414909,4.26211740427294,1.1237765612199255,20.61163292086047,0.3651775401477435,0.3645947804765002,0.8052883062944267,0.0,0.0,0,0.0,3389.5152426568093,16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,162.9883618116599,18.0,56.0,1612.0,5878.0,12.0,30.0,708.0,2553.0,66.27092462221012,36.742849,0.5544339272382199,0.0681064561852506,0.0083661715963505,900.6009459999999,1943.30866,19386.00189,113298.341504,South Africa,ZA
2,21489671,-33.934444,18.869167,0,town,Stellenbosch,1.840000033378601,44.04384613037109,19.90899500639194,19.4070019357112,7.934289838592396,32.55829939043742,0.7891131465251691,0.7863247863247863,0.9387787482142655,1.6115384101867676,44.04384613037109,16.851372889382844,14.660967488442695,5.885834158081758,29.51698344018613,0.6933595799240841,0.6918376865671642,0.899813053920648,0.7938461303710938,44.04384613037109,6.054520873843147,2.6152691337814318,1.3889357364073651,13.630362195221732,0.1826619709017811,0.1815610228160941,0.5758546145015255,0.5746153593063354,44.04384613037109,2.9616229771455247,1.8604404729239643,0.8885807900707979,6.118684456044524,0.0482303552528186,0.0481181034917115,0.3055749894354182,6096.955194253563,216.87986851771103,41,365.6181836089908,163491.98382517762,633,0,0.0,6,251.6472162378347,3,143.38278978524892,0,0.0,0,0.0,0,0.0,1,498.14269529129126,0,0.0,0,0,0,0.0,2,390.9857350170692,1,666.9544204743833,0,0.0,0,0.0,0,0.0,1,401.253190245992,0,0,1,383.2154353028575,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,83.53574107644357,459.0,612.0,1835.0,2722.0,215.0,292.0,926.0,1405.0,120.9990672979731,187.226364,1.5473372496247026,0.1406675648467733,0.0127880097274983,5927.583359,6955.866305,34531.69053200001,75221.480782,South Africa,ZA
3,25470100,-33.9618359,25.6186512,0,city,Gqeberha,3.669999837875366,112.67230987548828,32.861103230470604,28.758360717012,17.23847118633222,52.36060674853046,0.9894792265451112,0.9862385321100916,0.9984787982690868,3.0707693099975586,112.67230987548828,29.777090848814467,25.29947831554968,14.05537190077608,49.47129560771789,0.9413297088231406,0.9397285484242006,0.9908934736847984,1.2553845643997192,112.67230987548828,15.453181907377838,12.693137462322529,2.735380658367187,30.90875660309608,0.5572083779278897,0.5555811962630737,0.8885830022208512,0.4976922869682312,112.67230987548828,8.42926611004306,2.7372895857458555,0.97744446672483,20.33001461576787,0.3310048433716227,0.330317670923304,0.8095947441010497,15229.722756284891,169.06183800789063,158,170.117695913249,135519.45897765207,350,1,717.4366467467898,6,248.14963453313888,0,0.0,0,0.0,2,561.4676530490394,0,0.0,0,0.0,2,590.1860204206281,0,0,2,543.9818719850775,0,0.0,2,308.3050082843933,1,479.4590782620905,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1,496.46568934071774,0,0.0,0,0,0,0.0,0,0.0,0,0.0,44.09288797778437,381.0,559.0,1928.0,4558.0,163.0,236.0,821.0,1994.0,45.90380216699047,197.386141,4.299995461856117,0.6346637122092156,0.0936740587677997,6702.538772,7843.122040999999,24198.649267,84113.471412,South Africa,ZA
4,25503669,-25.7459277,28.1879101,0,city,Pretoria,14.140769004821776,52.64230728149414,33.37177112600863,32.37423133850098,23.48350819313967,44.09466683614602,1.0,1.0,1.0,13.846922874450684,52.64230728149414,31.209064601673745,29.824615478515625,20.59768448818896,42.47654462460202,1.0,1.0,1.0,2.742307662963867,58.22615432739258,19.48892441954181,17.581086073516794,9.205221450536143,31.153945516664727,0.8359486494725586,0.8343162237592525,0.9475433619192832,2.072307586669922,58.22615432739258,14.938362754817373,13.631585884959543,6.900262440207759,24.030309688558575,0.7135275036760478,0.7132990117326323,0.8780576712646614,22261.630416597774,102.7807428299525,94,103.62208281580902,742074.218609003,749,2,181.225108352114,1,116.4142463488724,34,150.5709883077416,1,543.7613460690484,3,167.9851870958914,0,0.0,1,428.5030959662915,1,329.8430036748365,0,0,0,0.0,9,245.87492289392085,28,131.51816413459616,2,355.751297942571,3,679.5569937642739,0,0.0,9,167.11620209026435,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1,358.1466768371573,0,0.0,47.59639148181103,2324.0,3185.0,9589.0,19317.0,810.0,1098.0,3478.0,7486.0,102.49738640106612,120.417327,1.1748331467576572,0.1160432264928066,0.0114620790637588,9980.562623,14384.280760999996,64702.675166,178681.67979000002,South Africa,ZA
5,25779128,-25.6297222,27.7841667,0,town,Brits,2.536153793334961,36.65153884887695,17.496433995144475,15.819231033325195,8.263718716296756,27.85829767755525,0.7574429298458872,0.7547463429816371,0.9004159704133476,2.072307825088501,43.32077026367188,15.109618012168198,12.516922950744627,5.652907901287,26.558387961502152,0.6240692282837115,0.6189021336271662,0.847252183321361,1.16076922416687,43.32077026367188,7.137762868775984,4.135258529631615,1.8995892023166387,15.045900157315211,0.2272502763231205,0.225983901630061,0.5835540527340298,0.7315384745597839,141.79000854492188,4.654801003490235,2.4183970731775783,1.346819893831725,10.33607585041415,0.1010734943235302,0.1011098562711754,0.4655738288814732,10966.919856171124,246.40735456826096,7,265.3318847312868,29922.16355683899,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,862.4302708690925,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,151.94867114470875,101.0,132.0,447.0,777.0,54.0,78.0,245.0,478.0,53.71629402100603,80.049767,1.4902324975862284,0.2033297884008161,0.0277426528532192,2982.795942,6878.187070000001,21644.317219,52159.168595,South Africa,ZA
6,25919858,-32.1644444,25.6208333,0,town,Cradock,0.6438461542129517,13.30307674407959,5.575471046817555,5.370769500732421,1.994093905920996,9.248775684569818,0.0894225295454091,0.089699074074074,0.1885758763928716,0.4823077023029327,17.333847045898438,4.782100976263672,3.6895583113247423,1.1497700472309,9.02393901273493,0.0806046600205094,0.0805308898545248,0.2085449229211897,0.3223077058792114,19.08153915405273,1.8282318457784783,0.4205882843529321,0.3844527728531325,4.525089207069224,0.0325820606425433,0.0324770306714814,0.2481699329810348,0.2861538529396057,19.08153915405273,0.7344606099778253,0.332001637627846,0.332001637627846,1.50970211391102,0.0081454354609344,0.0081296006712689,0.1544356609691862,3142.213015015392,483.1883399663029,11,486.8055252435015,0.0,0,0,0.0,1,467.5556431806679,1,709.4103262884748,0,0.0,0,0.0,0,0.0,1,683.6834635344396,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,679.919442261909,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1,415.3309099902609,0,0.0,12.423653711854534,65.0,84.0,127.0,164.0,41.0,50.0,72.0,90.0,71.78166265018798,142.840207,1.9899261416679643,0.2348714346858232,0.0277219288074369,4157.114595999999,5813.199481000001,15675.093525,34394.283941,South Africa,ZA
7,25919859,-32.7441338,25.802622,0,town,Cookhouse,0.3461538553237915,5.320769309997559,1.480877913818887,0.8615384697914124,0.484836760428336,2.9527047471839545,0.0,0.0,0.0,0.3230769336223602,5.320769309997559,1.116064260845939,0.5727490430972615,0.3995512739011334,2.3136491712918126,0.0,0.0,0.0,0.2792307734489441,5.320769309997559,0.4984092904916173,0.3574883395275923,0.3203983585732082,0.8008823973754127,0.0,0.0,0.0,0.268461525440216,5.320769309997559,0.3826194794883634,0.32735267687718,0.3124827129690563,0.4988954278193238,0.0,0.0,0.0,20836.08550114993,435.09521172873696,7,501.4756659758967,96725.63385312416,1158,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,485.5425568664076,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,589.5085100209525,8.0,8.0,19.0,36.0,3.0,3.0,12.0,20.0,282.01628631089494,53.390988,0.1893188109751283,0.011273445600958,0.0006713045315631,3423.371186,4289.027524000001,4539.788108,4611.341602,South Africa,ZA
8,25919861,-33.798352,25.4687529,0,town,Despatch,1.713076949119568,22.5,10.746164578510037,11.266154289245604,3.560108036500344,17.79070491004992,0.5614146536792958,0.560077519379845,0.8041723520574678,1.3461538553237915,22.5,9.392763011030343,9.393687527737388,2.972780272267233,16.342756448777315,0.4724802187441478,0.470102901640864,0.7456557214891523,0.8692307472229004,38.65692138671875,5.928771137349122,3.335231831071055,1.386446071354264,12.666177479847011,0.1988894849367875,0.1986940298507462,0.5412202706103153,0.4923076927661896,46.79153823852539,5.260292531735989,2.375313308648739,0.8543690770758956,12.047883894320194,0.1846970636175883,0.1846254005848117,0.5527110210720229,6777.289299173048,158.7277522991876,35,158.87756280923892,23005.150454491377,32,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,696.0311892939337,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1,646.2079670855351,0,0.0,223.2407312690964,24.0,64.0,214.0,408.0,16.0,23.0,100.0,210.0,254.4716520629848,65.118571,0.2558971518913327,0.0160415285146888,0.0010056018020741,5013.762857,7485.20094,23028.264686,49682.49872500001,South Africa,ZA
9,25928779,-34.051111,24.922222,0,town,Jeffreys Bay,1.6915384531021118,20.23692321777344,9.220732594719465,8.341170006500084,3.24444866694404,15.783093350494482,0.3812993863748379,0.3767094017094017,0.6282098885736893,0.9246153831481934,20.23692321777344,7.618974043579534,7.34076924477854,2.271595473131134,13.805844283386891,0.2732620053319906,0.2707614446744881,0.5343963101805771,0.4269230663776397,20.23692321777344,3.087376956337003,1.6900490282968497,0.6784619254959798,6.784120324665877,0.0503205172648988,0.0499443083092002,0.2461844589377686,0.3353846073150635,20.23692321777344,1.32437672823887,0.5549991594306731,0.4326377806058279,2.935505040721008,0.0125799469842373,0.0125359247620858,0.1434737246428572,5871.862936143257,47.32752738086559,11,427.2686066440014,53497.36630541543,37,2,186.8374290070127,3,332.4648814736628,3,22.618813125288103,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1,167.37009817374246,2,120.10180786329931,1,153.10183256777336,1,197.80874373340285,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,23.30586319196286,159.0,196.0,353.0,604.0,90.0,102.0,183.0,331.0,24.206191153433213,23.641877,0.9766871975084286,0.1985145143979929,0.0403486525954292,1407.774494,2215.453981,24905.394912000003,33477.872399,South Africa,ZA
